n,Time,year,month,dayDay,day,Num,Customer,cust_name,Item,ItemCode,ItemCodeSub,Quantity,UnitPrice,Tax,Amount,Des,ReceiptNo,Cost,Profit,Goods
739,29/1/2018,2018,1,29,1,71124,Kern Lighting Warehouse:Store #34,Ke21,Burnished Brass (60 watt)  w/Golden Umber Accents,AB37,Kern Burn63,560,0.019642857,763.6363636,8400,71124Kern Lighting Warehouse:Store #34Burnished Brass (60 watt)  w/Golden Umber Accents,1849,2100,6300,Burnished Brass (60 watt)  w/Golden Umber Accents
63,17/1/2018,2018,1,17,3,71055,Miscellaneous - Retail:Ms. Jann Minor,Ja42,"Beveled Mirror, Etched Ribbed Glass (75 watt max)",AB20,MisceBeve33,10,1.1,13.09090909,144,"71055Miscellaneous - Retail:Ms. Jann MinorBeveled Mirror, Etched Ribbed Glass (75 watt max)",1173,66,78,"Beveled Mirror, Etched Ribbed Glass (75 watt max)"
64,17/1/2018,2018,1,17,3,71055,Miscellaneous - Retail:Ms. Jann Minor,Ja42,"Black Finish, Solid Brass, Hanging w/Clear Glass (2x60watt max)",AB23,MisceBlac35,2,5.5,7.727272727,85,"71055Miscellaneous - Retail:Ms. Jann MinorBlack Finish, Solid Brass, Hanging w/Clear Glass (2x60watt max)",1174,40,45,"Black Finish, Solid Brass, Hanging w/Clear Glass (2x60watt max)"
65,17/1/2018,2018,1,17,3,71055,Miscellaneous - Retail:Ms. Jann Minor,Ja42,Golden Umber (100 watt)  Six Light Chandelier,AB58,MisceGold32,33,0.333333333,28.63636364,315,71055Miscellaneous - Retail:Ms. Jann MinorGolden Umber (100 watt)  Six Light Chandelier,1175,85,230,Golden Umber (100 watt)  Six Light Chandelier
66,17/1/2018,2018,1,17,3,71055,Miscellaneous - Retail:Ms. Jann Minor,Ja42,"Pendant Bar, Textured White, 50lbs max",AB66,MiscePend31,10,1.1,4.545454545,50,"71055Miscellaneous - Retail:Ms. Jann MinorPendant Bar, Textured White, 50lbs max",1176,20,30,"Pendant Bar, Textured White, 50lbs max"
67,17/1/2018,2018,1,17,3,71055,Miscellaneous - Retail:Ms. Jann Minor,Ja42,"Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass",AB67,MiscePoli30,11,1,31.81818182,350,"71055Miscellaneous - Retail:Ms. Jann MinorPolished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass",1177,160,190,"Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass"
68,17/1/2018,2018,1,17,3,71055,Miscellaneous - Retail:Ms. Jann Minor,Ja42,"Sunset, Clear Glass, 1-100 watt max.",AB78,MisceSuns34,17,0.647058824,12.72727273,140,"71055Miscellaneous - Retail:Ms. Jann MinorSunset, Clear Glass, 1-100 watt max.",1178,60,80,"Sunset, Clear Glass, 1-100 watt max."
83,31/1/2018,2018,1,31,3,71059,Godwin Lighting Depot:Store #303,Go16,"Athena Collection, (100 watt max) Copper Verde, Seeded Glass",AB17,GodwiAthe67,14,0.785714286,36.81818182,405,"71059Godwin Lighting Depot:Store #303Athena Collection, (100 watt max) Copper Verde, Seeded Glass",1193,160.71,244.29,"Athena Collection, (100 watt max) Copper Verde, Seeded Glass"
84,31/1/2018,2018,1,31,3,71059,Godwin Lighting Depot:Store #303,Go16,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",AB22,GodwiBlac64,3,3.666666667,10.30909091,113.4,"71059Godwin Lighting Depot:Store #303Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",1194,57.57,55.83,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max."
85,31/1/2018,2018,1,31,3,71059,Godwin Lighting Depot:Store #303,Go16,"Black Finish, Solid Brass,Wall Mount w/Clear Glass (2x60watt max)",AB24,GodwiBlac65,15,0.733333333,30.68181818,337.5,"71059Godwin Lighting Depot:Store #303Black Finish, Solid Brass,Wall Mount w/Clear Glass (2x60watt max)",1195,200,137.5,"Black Finish, Solid Brass,Wall Mount w/Clear Glass (2x60watt max)"
86,31/1/2018,2018,1,31,3,71059,Godwin Lighting Depot:Store #303,Go16,"Broadway Collection, Polished Chrome, 4 Light (60 watt max)",AB29,GodwiBroa68,15,0.733333333,11.53636364,126.9,"71059Godwin Lighting Depot:Store #303Broadway Collection, Polished Chrome, 4 Light (60 watt max)",1196,126,0.9,"Broadway Collection, Polished Chrome, 4 Light (60 watt max)"
87,31/1/2018,2018,1,31,3,71059,Godwin Lighting Depot:Store #303,Go16,"Domes, White, 59x21x6 5/8 ht, 120v HPF",AB46,GodwiDome73,7,1.571428571,7.363636364,81,"71059Godwin Lighting Depot:Store #303Domes, White, 59x21x6 5/8 ht, 120v HPF",1197,36,45,"Domes, White, 59x21x6 5/8 ht, 120v HPF"
88,31/1/2018,2018,1,31,3,71059,Godwin Lighting Depot:Store #303,Go16,"Fluorescent Lamp, T-12, Medium Bipin  (30pack)",AB52,GodwiFluo72,4,2.75,1.227272727,13.5,"71059Godwin Lighting Depot:Store #303Fluorescent Lamp, T-12, Medium Bipin  (30pack)",1198,6.34,7.16,"Fluorescent Lamp, T-12, Medium Bipin  (30pack)"
89,31/1/2018,2018,1,31,3,71059,Godwin Lighting Depot:Store #303,Go16,"Halogen Lamp, Volts:3.5  Tubular",AB62,GodwiHalo69,2,5.5,0.9,9.9,"71059Godwin Lighting Depot:Store #303Halogen Lamp, Volts:3.5  Tubular",1199,5,4.9,"Halogen Lamp, Volts:3.5  Tubular"
90,31/1/2018,2018,1,31,3,71059,Godwin Lighting Depot:Store #303,Go16,"Specialty Bulbs, 100 watt (6 pack)",AB74,GodwiSpec70,4,2.75,1.8,19.8,"71059Godwin Lighting Depot:Store #303Specialty Bulbs, 100 watt (6 pack)",1200,9.5,10.3,"Specialty Bulbs, 100 watt (6 pack)"
91,31/1/2018,2018,1,31,3,71059,Godwin Lighting Depot:Store #303,Go16,"Specialty, Stage & Studio Bulbs  60 watt",AB75,GodwiSpec71,3,3.666666667,3.722727273,40.95,"71059Godwin Lighting Depot:Store #303Specialty, Stage & Studio Bulbs  60 watt",1201,17.5,23.45,"Specialty, Stage & Studio Bulbs  60 watt"
92,31/1/2018,2018,1,31,3,71059,Godwin Lighting Depot:Store #303,Go16,Tapestry (8/60 watt)  Faux Alabaster Glass,AB79,GodwiTape66,36,0.305555556,49.09090909,540,71059Godwin Lighting Depot:Store #303Tapestry (8/60 watt)  Faux Alabaster Glass,1202,150,390,Tapestry (8/60 watt)  Faux Alabaster Glass
535,18/1/2018,2018,1,18,4,71092,Miscellaneous - Retail:Brian Stern,Br29,"Athena Collection, (100 watt max) Copper Verde, Seeded Glass",AB17,MisceAthe38,8,1.375,20.45454545,225,"71092Miscellaneous - Retail:Brian SternAthena Collection, (100 watt max) Copper Verde, Seeded Glass",1645,75,150,"Athena Collection, (100 watt max) Copper Verde, Seeded Glass"
536,18/1/2018,2018,1,18,4,71092,Miscellaneous - Retail:Brian Stern,Br29,"Beveled Mirror, Etched Ribbed Glass (75 watt max)",AB20,MisceBeve37,10,1.1,13.09090909,144,"71092Miscellaneous - Retail:Brian SternBeveled Mirror, Etched Ribbed Glass (75 watt max)",1646,66,78,"Beveled Mirror, Etched Ribbed Glass (75 watt max)"
537,18/1/2018,2018,1,18,4,71092,Miscellaneous - Retail:Brian Stern,Br29,Burnished Brass (60 watt)  w/Golden Umber Accents,AB37,MisceBurn39,20,0.55,27.27272727,300,71092Miscellaneous - Retail:Brian SternBurnished Brass (60 watt)  w/Golden Umber Accents,1647,75,225,Burnished Brass (60 watt)  w/Golden Umber Accents
538,18/1/2018,2018,1,18,4,71092,Miscellaneous - Retail:Brian Stern,Br29,"Pendant Bar, Textured White, 50lbs max",AB66,MiscePend41,10,1.1,4.545454545,50,"71092Miscellaneous - Retail:Brian SternPendant Bar, Textured White, 50lbs max",1648,20,30,"Pendant Bar, Textured White, 50lbs max"
539,18/1/2018,2018,1,18,4,71092,Miscellaneous - Retail:Brian Stern,Br29,"Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass",AB67,MiscePoli40,8,1.375,21.09090909,232,"71092Miscellaneous - Retail:Brian SternPolished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass",1649,128,104,"Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass"
540,18/1/2018,2018,1,18,4,71092,Miscellaneous - Retail:Brian Stern,Br29,"Sunset, Clear Glass, 1-100 watt max.",AB78,MisceSuns36,22,0.5,15.90909091,175,"71092Miscellaneous - Retail:Brian SternSunset, Clear Glass, 1-100 watt max.",1650,75,100,"Sunset, Clear Glass, 1-100 watt max."
1,6/1/2018,2018,1,6,6,71047,Baker's Professional Lighting:Store #25,Ba5,"Beveled Mirror, Etched Ribbed Glass (75 watt max)",AB20,BakerBeve13,10,1.1,13.09090909,144,"71047Baker's Professional Lighting:Store #25Beveled Mirror, Etched Ribbed Glass (75 watt max)",1111,66,78,"Beveled Mirror, Etched Ribbed Glass (75 watt max)"
2,6/1/2018,2018,1,6,6,71047,Baker's Professional Lighting:Store #25,Ba5,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",AB22,BakerBlac12,2,5.5,7.636363636,84,"71047Baker's Professional Lighting:Store #25Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.",1112,36,48,"Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max."
